kameo_name,category,subcategory,parent_command,move_name,command,hit_damage,block_damage,fblock_damage,block_type,startup,active,recovery,cancel,hit_advantage,block_advantage,fblock_advantage,properties,notes
Ferra,Kameo Moves,Special Moves,D+KAMEO,Lackey Dismissal,D+KAMEO,,,,,1,,11,,,,,,"• Ferra departs arena
• Not possible if main fighter is under attack"
Ferra,Kameo Moves,Torr Stance,,Torr Stance,KAMEO,,,,,1,,13,,,,,,• Enters Torr Stance
Ferra,Kameo Moves,Torr Stance,KAMEO,Torr Stance: Move Forward,F,,,,,1,,31,,,,,,
Ferra,Kameo Moves,Torr Stance,KAMEO,Torr Stance: Move Backward,B,,,,,1,,30,,,,,,
Ferra,Kameo Moves,Torr Stance,KAMEO,Torr Stance: Jump,U,,,,,1,,38,,,,,,
Ferra,Kameo Moves,Torr Stance,KAMEO,Torr Stance: Jump Forward,U+F,,,,,1,,43,,,,,,
Ferra,Kameo Moves,Torr Stance,KAMEO,Torr Stance: Jump Backward,U+B,,,,,1,,38,,,,,,
Ferra,Kameo Moves,Torr Stance,KAMEO,Torr Stance: Swings!,1,50.00,16.250,,,22,7,22,,44,3,-7,,"• Cancelable on Hit into Jump
• Exits Torr Stance"
Ferra,Kameo Moves,Torr Stance,KAMEO,Torr Stance: Potato Sack Toss,2,50.00,16.250,,Overhead,20,5,29,,64,-2,-12,,"• Exits Torr Stance
• Faster Start-Up when used in a Kombo"
Ferra,Kameo Moves,Torr Stance,KAMEO,Torr Stance: Slide!,3,50.00,16.250,,Low,17,29,8,,40,-12,-17,,"• Exits Torr Stance
• Faster Start-Up when used in a Kombo"
Ferra,Kameo Moves,Torr Stance,KAMEO,Torr Stance: Yo-Yo Throw,4,50.00,16.250,,Overhead,15,36,35,,46,15,15,,• Exits Torr Stance
Ferra,Kameo Moves,Torr Stance,KAMEO,Torr Stance: Close Yo-Yo Throw,"4,B",50.00,16.250,,Overhead,15,36,35,,49,17,17,,• Exits Torr Stance
Ferra,Kameo Moves,Torr Stance,KAMEO,Torr Stance: Far Yo-Yo Throw,"4,F",50.00,16.250,,Overhead,15,36,35,,47,15,15,,• Exits Torr Stance
Ferra,Kameo Moves,Torr Stance,KAMEO,Torr Stance: Pain N Gain,DD+KAMEO,,,,,,,,,,,,"Armor, Buff","• Main fighter takes damage from Ferra
• Briefly gives main fighter Armor
• Increases team's damage output for a duration
• Apply twice for doubled effect"
Ferra,Kameo Moves,Torr Stance,KAMEO,Torr Stance: Cancel,D+KAMEO,,,,,,,,,,,,,• Exits Torr Stance
Ferra,Kameo Moves,(Air) Torr Stance U+KAMEO,,(Air) Torr Stance,U+KAMEO,,,,,,,,,,,,,• Enters Torr Stance
Ferra,Kameo Moves,(Air) Torr Stance U+KAMEO,,(While Jumping) Torr Stance: Improvised Flail,1 or 2,50.00,16.250,,Overhead,10,5,28,,67,2,2,,"• Advantage on Hit allows for Jump Attack follow-up
• Exits Torr Stance"
Ferra,Kameo Moves,Throws,,Torrn Up,F+THROW or F+1+3,110.00,,,Throw,10,2,33,,18,,,,• Shove performed instead when Kameo is unavailable
Ferra,Kameo Moves,Throws,,(During Torr Stance) Torrn Up,THROW or 1+3,100.00,,,Throw,9,8,35,,20,,,,• Exits Torr Stance
Frost,Kameo Moves,Special Moves,,Ice Krash,KAMEO,60.00,17.500,,Mid,24,5,27,,43,4,4,Invulnerability,"• Has Invulnerability when performed as a Getup
• Causes extra damage if victim bounces off Ice Krash into Ice Wall"
Frost,Kameo Moves,Special Moves,,Frosty's Revenge,Hold KAMEO,90.49,56.250,,High,30,52,19,,29,-1,-1,,
Frost,Kameo Moves,Special Moves,,Snow Flakes,B+KAMEO,60.00,17.500,,Mid,68,240,10,58,75,11,11,,
Frost,Kameo Moves,Special Moves,B+KAMEO,Snow Flakes Cancel,DD,,,,,1,,18,,,,,,
Frost,Kameo Moves,Special Moves,,Ice Karpet,F+KAMEO,20.00,12.500,,Low,26,,49,,91,-28,-28,,
Frost,Kameo Moves,Special Moves,,Ice Wall,D+KAMEO,60.00,17.500,,Mid,68,,,58,75,11,11,,
Frost,Kameo Moves,Special Moves,D+KAMEO,Ice Krash,"D+KAMEO, KAMEO",85.50,17.500,,Mid,17,5,90,,,,,,• Causes extra damage if victim bounces off Ice Krash into Ice Wall
Frost,Kameo Moves,Special Moves,,Glacier Goring,F+THROW or F+1+3,120.00,,,Throw,10,2,33,,5,,,,• Shove performed instead when Kameo is unavailable
Frost,Kameo Moves,Throws,,(Mid) Breaking Point,"BDB,KAMEO",,,,,,,,,,,,,• Jump Distance
Frost,Kameo Moves,Kameo Fatality,"BDB,KAMEO",Easy Fatality,Hold EX+1,,,,,,,,,,,,,• Easy Fatality Token required to perform Easy Fatality
Goro,Kameo Moves,Special Moves,,(Close) Raise The Roof,KAMEO,60.00,17.500,,High,33,6,,29,67,54,54,,"• Cancelable during Start-Up into Dead Weight, Punch Walk, or Shokan Stomp"
Goro,Kameo Moves,Special Moves,KAMEO,(Mid) Raise The Roof,D+KAMEO,60.00,17.500,,High,33,6,,29,67,54,54,,"• Cancelable during Start-Up into Dead Weight, Punch Walk, or Shokan Stomp"
Goro,Kameo Moves,Special Moves,KAMEO,(Far) Raise The Roof,U+KAMEO,60.00,17.500,,High,33,6,,29,67,54,54,,"• Cancelable during Start-Up into Dead Weight, Punch Walk, or Shokan Stomp"
Goro,Kameo Moves,Special Moves,,Punch Walk,F+KAMEO,120.00,37.500,,High,32,46,20,,30,10,10,Invulnerability,"• Has Invulnerability when performed as a Getup
• Can be cancelled into Dead Weight or Shokan Stomp"
Goro,Kameo Moves,Special Moves,F+KAMEO,Shokan Stomp,F+KAMEO,90.00,,,Unblockable,96,5,0,,,,,,
Goro,Kameo Moves,Special Moves,F+KAMEO,Dead Weight,B+KAMEO,60.00,,,Throw,28,,51,,,,,,"• Grabs foes who are ducking or in a kombo
• Advantage on Hit allows for Jump Attack follow-up"
Goro,Kameo Moves,Special Moves,,Shokan Stomp,"KAMEO,KAMEO",90.00,,,Unblockable,96,5,0,,,,,,
Goro,Kameo Moves,Special Moves,"KAMEO,KAMEO",(In Front) Shokan Stomp,"KAMEO,KAMEO+B",90.00,,,Unblockable,96,5,0,,,,,,
Goro,Kameo Moves,Special Moves,"KAMEO,KAMEO",(Behind) Shokan Stomp,"KAMEO,KAMEO+F",90.00,,,Unblockable,96,5,0,,,,,,
Goro,Kameo Moves,Special Moves,,Dead Weight,B+KAMEO,100.00,,,Throw,28,,51,,85,,,,"• Grabs foes who are ducking or in a kombo
• Advantage on Hit allows for Jump Attack follow-up"
Goro,Kameo Moves,Throws,,Rearranger,F+THROW or F+1+3,110.00,,,Throw,10,2,33,,5,,,,• Shove performed instead when Kameo is unavailable
Goro,Kameo Moves,Kameo Fatality,,(Close) Prince Of Pain,"BFD,KAMEO",,,,,,,,,,,,,• Sweep Distance
Goro,Kameo Moves,Kameo Fatality,"BFD,KAMEO",Easy Fatality,Hold EX+1,,,,,,,,,,,,,• Easy Fatality Token required to perform Easy Fatality
Janet Cage,Kameo Moves,Special Moves,,Krotch Destroyer,KAMEO,60.00,17.500,,Mid,23,10,18,,34,-6,-6,Invulnerability,• Has Invulnerability when performed as a Getup or Reversal
Janet Cage,Kameo Moves,Special Moves,,Mime Time,U+KAMEO,,,,Unblockable,25,45,9,,,,,,"• Absorbs attacks and repels opponents
• Hold KAMEO to extend duration"
Janet Cage,Kameo Moves,Special Moves,,Hop Punch,B+KAMEO,50.00,,,Unblockable,20,12,,,59,,,,• Repeat input just before Hit to repeat attack up to 2 times
Janet Cage,Kameo Moves,Special Moves,,Hop Skip Punch,F+KAMEO,50.00,,,Unblockable,24,12,,,63,,,,• Repeat input just before Hit to repeat attack up to 2 times
Janet Cage,Kameo Moves,Stung Double D+KAMEO,,Idle,Hold KAMEO,,,,,,,,,,,,,"• Prevents Janet Cage from acting
• Hold EX instead to command Janet Cage without moving main Fighter"
Janet Cage,Kameo Moves,Stung Double D+KAMEO,,Move Forward,F,,,,,,,,,,,,,"• During Stunt Double
• Drains some Stunt Double time"
Janet Cage,Kameo Moves,Stung Double D+KAMEO,,Move Backward,B,,,,,,,,,,,,,"• During Stunt Double
• Drains some Stunt Double time"
Janet Cage,Kameo Moves,Stung Double D+KAMEO,,Jane Diere,1,39.00,25.000,,High,,,,,,,,,"• During Stunt Double
• Drains some Stunt Double time"
Janet Cage,Kameo Moves,Stung Double D+KAMEO,,Caged And Konfused,2,58.500,27.500,,High,,,,,,,,,"• During Stunt Double
• Drains some Stunt Double time"
Janet Cage,Kameo Moves,Stung Double D+KAMEO,,Box Office Bang,3,50.00,16.250,,Mid,,,,,,,,,"• During Stunt Double
• Drains some Stunt Double time"
Janet Cage,Kameo Moves,Stung Double D+KAMEO,,Box Office Bomb,4,70.00,18.750,,High,,,,,,,,,"• During Stunt Double
• Drains some Stunt Double time"
Janet Cage,Kameo Moves,Stung Double D+KAMEO,,Forceball,F+1,50.00,16.250,,High,,,,,,,,,"• During Stunt Double
• Drains some Stunt Double time"
Janet Cage,Kameo Moves,Stung Double D+KAMEO,,Uppercut,D+2,90.00,21.250,,High,,,,,,,,,"• During Stunt Double
• Drains some Stunt Double time"
Janet Cage,Kameo Moves,Stung Double D+KAMEO,,Shadow Kick,F+3,60.00,17.500,,High,,,,,,,,,"• During Stunt Double
• Drains some Stunt Double time"
Janet Cage,Kameo Moves,Stung Double D+KAMEO,,Sweepstakes,B+4,70.00,18.750,,Low,,,,,,,,,"• During Stunt Double
• Drains some Stunt Double time"
Janet Cage,Kameo Moves,Stung Double D+KAMEO,,Roundhouse,F+4,90.00,21.250,,High,,,,,,,,,"• During Stunt Double
• Drains some Stunt Double time"
Janet Cage,Kameo Moves,Stung Double D+KAMEO,,Splits,SS While Holding KAMEO,,,,,,,,,,,,,"• During Stunt Double
• Replenishes some Stunt Double time (up to 3 times per Stunt Double session)"
Janet Cage,Kameo Moves,Throws,,Triple Whammy,F+THROW or F+1+3,140.00,,,Throw,10,2,33,,15,,,,• Shove performed instead when Kameo is unavailable
Jax,Kameo Moves,Special Moves,,Ground Pound,KAMEO,50.00,,,Unblockable,100,4,,,0,,,,
Jax,Kameo Moves,Special Moves,,(Close) Back Breaker,B+KAMEO,60.00,,,Unblockable,49,4,,,172,,,,
Jax,Kameo Moves,Special Moves,,(Far) Back Breaker,F+KAMEO,60.00,,,Unblockable,49,4,,,172,,,,
Jax,Kameo Moves,Special Moves,,Energy Wave,D+KAMEO,60.00,17.500,,Mid,25,4,21,,30,7,7,Invulnerability,• Has Invulnerability when performed as a Getup
Jax,Kameo Moves,Special Moves,,Close Gotcha Grab,FDB+KAMEO,,,,,,,,,,,,,"• Grabs opposing Kameos
• Hold KAMEO on success for Gotcha Punches
• Unable to grab Goro or Motaro"
Jax,Kameo Moves,Special Moves,FDB+KAMEO,Far Gotcha Grab,BDF+KAMEO,,,,,,,,,,,,,"• Grabs opposing Kameos
• Hold KAMEO on success for Gotcha Punches
• Unable to grab Goro or Motaro"
Jax,Kameo Moves,Special Moves,FDB+KAMEO,Gotcha Punches,Hold KAMEO,,,,,,,,,,,,,
Jax,Kameo Moves,Throws,,Multi-Slam,F+THROW or F+1+3,110.00,,,Throw,10,2,33,,4,,,,• Shove performed instead when Kameo is unavailable
Jax,Kameo Moves,Throws,F+THROW or F+1+3,Quad-Slam,EX,160.00,,,,,,,,4,,,,"• Costs 1 bar of Super Meter
• Can be done twice"
Jax,Kameo Moves,Kameo Fatality,,(Far) Big Boot,"DFD,KAMEO",,,,,,,,,,,,,• Jump Distance
Jax,Kameo Moves,Kameo Fatality,,Easy Fatality,Hold EX+1,,,,,,,,,,,,,• Easy Fatality Token required to perform Easy Fatality
Kano,Kameo Moves,Special Moves,,Eye Laser,KAMEO,100.00,52.500,,Mid,15,52,101,35,12,-8,-8,Invulnerability,• Has Invulnerability when performed as a Getup
Kano,Kameo Moves,Special Moves,,Knife Toss,B+KAMEO,39.00,25.000,,High,58,,,,110,90,90,,
Kano,Kameo Moves,Special Moves,,Ball,F+KAMEO,50.00,16.250,,Mid,57,25,,,128,78,78,,
Kano,Kameo Moves,Special Moves,F+KAMEO,Ball (Delay),F+Hold KAMEO,50.00,16.250,,Mid,175,25,,,,,,,
Kano,Kameo Moves,Special Moves,F+KAMEO,Ball (Cancel),EX,,,,,,,,,,,,,
Kano,Kameo Moves,Throws,,Using Your Noggin,F+THROW or F+1+3,110.00,,,Throw,10,2,33,,2,,,,• Shove performed instead when Kameo is unavailable
Kano,Kameo Moves,Kameo Fatality,,(Mid) Heart Ripper,"BDF,KAMEO",,,,,,,,,,,,,• Jump Distance
Kano,Kameo Moves,Kameo Fatality,"BDF,KAMEO",Easy Fatality,Hold EX+1,,,,,,,,,,,,,• Easy Fatality Token required to perform Easy Fatality
Khameleon,Kameo Moves,Special Moves,,Change Disguise,Hold KAMEO During End Of Move,,,,,,,,,,,,,"• Hold the Kameo input at the end of any Khameleon move to force a disguise change
• Disguise order is Jade, Kitana, Mileena
• Automatic disguise changes occur every 7 seconds"
Khameleon,Kameo Moves,Special Moves,,Broken Mirror,B+KAMEO,,,,,,,,,,,,,"• Halves damage of next received attack (whether Hit or Block)
• Automatically cycles to next disguise"
Khameleon,Kameo Moves,Special Moves,,Alternate Disguises,DD+KAMEO,,,,,,,,,,,,,"• Reverses the Disguise selection order
• Disguise order is Mileena, Kitana, Jade"
Khameleon,Kameo Moves,Jade Disguise,,Glaive,KAMEO,57.00,27.500,,Mid,26,92,,,81,35,35,,"• Glaive trajectory can be altered by holding Up or Down
• Requires Jade Disguise to perform"
Khameleon,Kameo Moves,Jade Disguise,,Glow,F+KAMEO,,,,,,,,,,,,Invulnerability,"• Invulnerable to projectiles for a duration
• Requires Jade Disguise to perform"
Khameleon,Kameo Moves,Mileena Disguise,,Roll,KAMEO,50.00,36.250,,Overhead,18,36,19,,60,-17,-17,,• Requires Mileena Disguise to perform
Khameleon,Kameo Moves,Mileena Disguise,,Sai,F+KAMEO,45.00,,,Unblockable,17,,,,109,,,,• Requires Mileena Disguise to perform
Khameleon,Kameo Moves,Kitana Disguise,,Fan Toss,KAMEO,70.00,28.750,,Mid,19,46,,,72,-6,-6,,• Requires Kitana Disguise to perform
Khameleon,Kameo Moves,Kitana Disguise,,Fan Lift,F+KAMEO,,,,,,,,,,,,,• Requires Kitana Disguise to perform
Khameleon,Kameo Moves,Kitana Disguise,F+KAMEO,(Close) Fan Lift,"F+KAMEO, Hold B",,,,,,,,,,,,,• Requires Kitana Disguise to perform
Khameleon,Kameo Moves,Kitana Disguise,F+KAMEO,(Far) Fan Lift,"F+KAMEO, Hold F",,,,,,,,,,,,,• Requires Kitana Disguise to perform
Khameleon,Kameo Moves,Throws,,The New Pink,F+THROW or F+1+3,130.00,,,Throw,10,2,33,,7,,,,"• Requires Jade Disguise to perform
• Shove performed instead when Kameo is unavailable"
Khameleon,Kameo Moves,Throws,,Petite Yet Saizable,F+THROW or F+1+3,90.00,,,Throw,10,2,33,,31,,,,"• Requires Mileena Disguise to perform
• Shove performed instead when Kameo is unavailable"
Khameleon,Kameo Moves,Throws,,Fanpleaser,F+THROW or F+1+3,110.00,,,Throw,10,2,33,,7,,,,"• Requires Kitana Disguise to perform
• Shove performed instead when Kameo is unavailable"
Khameleon,Kameo Moves,Kameo Fatality,,(Close) Fantasize,"DFD,KAMEO",,,,,,,,,,,,,
Khameleon,Kameo Moves,Kameo Fatality,"DFD,KAMEO",Easy Fatality,Hold EX+1,,,,,,,,,,,,,• Easy Fatality Token required to perform Easy Fatality
Kung Lao,Kameo Moves,Special Moves,,Away We Go,KAMEO,,,,,8,13,84,,,,,Armor,• Has Armor
Kung Lao,Kameo Moves,Special Moves,KAMEO,Away We Go (Air),Hold KAMEO,,,,,8,13,,,,,,Armor,"• Has Armor
• Cancelable into air attacks"
Kung Lao,Kameo Moves,Special Moves,,Buzz Saw,B+KAMEO,60.00,17.500,,Low,24,,19,,19,-3,-3,,
Kung Lao,Kameo Moves,Special Moves,B+KAMEO,Buzz Saw (Delay),Hold KAMEO,60.00,17.500,,Low,24,199,,,,,,,
Kung Lao,Kameo Moves,Special Moves,,Spin,F+KAMEO,40.00,15.000,,Mid,23,15,17,,70,-15,-15,Invulnerability,• Has Invulnerability when performed as a Getup or Reversal
Kung Lao,Kameo Moves,Special Moves,,Orbiting Hat,D+KAMEO,60.00,17.500,,Mid,21,181,22,,38,10,10,,
Kung Lao,Kameo Moves,Special Moves,D+KAMEO,Wobbly Orbit,Hold KAMEO,60.00,17.500,,Mid,21,181,22,,37,9,9,,
Kung Lao,Kameo Moves,Throws,,Rapid-Fire Blows,F+THROW or F+1+3,120.00,,,Throw,10,2,33,,12,,,,• Shove performed instead when Kameo is unavailable
Kung Lao,Kameo Moves,Kameo Fatality,,(Mid) Klean Kut,"FBF,KAMEO",,,,,,,,,,,,,• Jump Distance
Kung Lao,Kameo Moves,Kameo Fatality,"FBF,KAMEO",Easy Fatality,Hold EX+1,,,,,,,,,,,,,• Easy Fatality Token required to perform Easy Fatality
Mavado,Kameo Moves,Special Moves,,Trap Drop,KAMEO,44.00,42.500,30.000,Mid,78,85,0,,276,0,0,,"• Trap activates if foe is nearby
• Active trap pulls foes in briefly, then emits stunning shock
• Trap disappears after a duration if not activated"
Mavado,Kameo Moves,Special Moves,,Nomad's Touch,B+KAMEO,80.00,,,High,19,8,19,125,24,10,10,,"• If successful, knocks down both fighters"
Mavado,Kameo Moves,Special Moves,,Best Feet Forward,F+KAMEO,50.00,16.500,,Mid,12,13,17,,0,0,0,,• Can only be used while foe is vulnerable to a Juggle Kombo
Mavado,Kameo Moves,Special Moves,,Just Dessert,F+KAMEO,60.00,17.500,,Mid,12,10,16,,46,24,24,,"• Costs 2 bars of Super Meter
• Can only be used after performing a Flawless Block"
Mavado,Kameo Moves,Special Moves,,Sliding Home,D+KAMEO,50.00,16.500,,Low,23,14,12,,0,0,0,,"• Can only be used while foe is knocked down, being thrown, or laying prone during Delayed Getup"
Mavado,Kameo Moves,Special Moves,,Nindrop,U+KAMEO,50.00,16.500,,Mid,8,8,1,,0,0,0,,• Can only be used while foe is vulnerable to a Juggle Kombo
Mavado,Kameo Moves,Throws,,Dragon Killer,F+THROW or F+1+3,110.00,,,Throw,10,2,33,,4,,,,• Shove performed instead when Kameo is unavailable
Mavado,Kameo Moves,Kameo Fatality,,(Mid) Katapult,"BDD,KAMEO",,,,,,,,,,,,,
Mavado,Kameo Moves,Kameo Fatality,"BDD,KAMEO",Easy Fatality,Hold EX+1,,,,,,,,,,,,,• Easy Fatality Token required to perform Easy Fatality
Motaro,Kameo Moves,Special Moves,,Centaurian Warp,KAMEO,,,,,15,1,55,,,,,,"• During Start-Up, hold B/F/U for Close/Far/Very Far Centaurian Warp"
Motaro,Kameo Moves,Special Moves,,(Close) Centaurian Warp,"KAMEO,B",,,,,15,1,55,,,,,,
Motaro,Kameo Moves,Special Moves,,(Far) Centaurian Warp,"KAMEO,F",,,,,15,1,55,,,,,,
Motaro,Kameo Moves,Special Moves,,(Very Far) Centaurian Warp,"KAMEO,U",,,,,15,1,55,,,,,,
Motaro,Kameo Moves,Special Moves,,Reflect,B+KAMEO,,,,,37,,36,,,,,Projectile Reflect,• Reflects or negates most projectiles
Motaro,Kameo Moves,Special Moves,B+KAMEO,Moving Reflect,Hold KAMEO,,,,,,,,,,,,Projectile Reflect,• Motaro walks forward during Reflect while KAMEO is held
Motaro,Kameo Moves,Special Moves,,Tail Shot,F+KAMEO,40.00,15.000,,Low,26,10,8,,29,13,13,Invulnerability,• Has Invulnerability when performed as a Getup or Reversal
Motaro,Kameo Moves,Special Moves,,Tail Turret,D+KAMEO,102.90,45.000,,Mid,40,,39,,61,112,112,,
Motaro,Kameo Moves,Fatal Blow,,Charge!,(During Fatal Blow Intro) KAMEO,350.00,22.500,,Mid,16,3,,,,,,Armor,
Motaro,Kameo Moves,Throws,,When The Bull Grabs You,F+THROW or F+1+3,120.00,,,Throw,10,2,33,,10,,,,• Shove performed instead when Kameo is unavailable
Motaro,Kameo Moves,Kameo Fatality,,(Mid) Brain Blast,FDD+KAMEO,,,,,,,,,,,,,• Jump Distance
Motaro,Kameo Moves,Kameo Fatality,FDD+KAMEO,Easy Fatality,Hold EX+1,,,,,,,,,,,,,• Easy Fatality Token required to perform Easy Fatality
Sareena,Kameo Moves,Special Moves,,Jataaka's Kurse,KAMEO,,,,Unblockable,31,,,,,,,,"• Drains opponent's Super Meter
• Decreases damage taken from opponent"
Sareena,Kameo Moves,Special Moves,,Jataaka's Blessing,D+KAMEO,,,,Unblockable,31,,,,,,,Buff,• Main fighter standing within Jataaka's Blessing area deals more damage and gradually gains Super Meter
Sareena,Kameo Moves,Special Moves,,Kia's Blades,B+KAMEO,68.00,35.000,,High,26,,,,47,28,28,,
