char_name,category,subcategory,parent_command,move_name,command,hit_damage,block_damage,fblock_damage,block_type,startup,active,recovery,cancel,hit_advantage,block_advantage,fblock_advantage,properties,notes
Ashrah,Special Moves,Heaven Mode,BF2,Astral Projection (Delay),Hold 2,90.00,21.250,,Mid,20,3,32,,30,-13,-13,,
Ashrah,Special Moves,Heaven Mode,BF2,Astral Projection (Cancel),BB,,,,,1,,21,,,,,,
Ashrah,Special Moves,Heaven Mode,BF2,Spirit Slice,Hold D,70.00,18.750,,Mid,18,2,43,,24,-23,-23,Unbreakable,• Unbreakable during first use in a Kombo after Enhanced Astral Specials
Ashrah,Special Moves,Heaven Mode,,Enhanced Astral Projection,BF2+EX,120.00,25.000,,Mid,20,3,32,,30,-13,-13,"Armor, Unbreakable","• Costs 1 bar of Super Meter
• Has Armor
• Unbreakable during first use in a Kombo"
Ashrah,Special Moves,Heaven Mode,BF2+EX,Enhanced Spirit Slice,"BF2+EX, Hold D",100.00,22.500,,Mid,18,2,43,,24,-23,-23,"Armor, Unbreakable","• Costs 1 bar of Super Meter
• Has Armor
• Unbreakable during first use in a Kombo"
Ashrah,Special Moves,Heaven Mode,,(Air) Astral Projection,BF2,90.00,21.250,,Mid,20,3,39,,23,-20,-20,,
Ashrah,Special Moves,Heaven Mode,BF2,(Air) Enhanced Astral Projection,BF2+EX,120.00,25.000,,Mid,20,3,39,,23,-20,-20,"Armor, Unbreakable","• Costs 1 bar of Super Meter
• Has Armor
• Unbreakable during first use in a Kombo"
Ashrah,Special Moves,Heaven Mode,BF2,(Air) Spirit Slice,Hold D,70.00,18.750,,Mid,18,2,42,,26,-22,-22,Unbreakable,• Unbreakable during first use in a Kombo after Enhanced Astral Specials
Ashrah,Special Moves,Heaven Mode,,God's Wrath,DB2,77.00,36.250,,Mid,18,36,38,,22,-21,-21,,
Ashrah,Special Moves,Heaven Mode,DB2,Enhanced God's Wrath,DB2+EX,110.00,43.750,,Mid,18,36,38,,23,-21,-21,Unbreakable,"• Costs 1 bar of Super Meter
• First Hit is Unbreakable in a Kombo"
Ashrah,Special Moves,Heaven Mode,,Light Ascension,DF3,70.00,18.750,,Mid,14,7,50,,17,-35,-35,,
Ashrah,Special Moves,Heaven Mode,DF3,Enhanced Light Ascension,DF3+EX,70.00,18.750,,Mid,14,7,53,,18,-37,-37,,"• Costs 1 bar of Super Meter
• Cancelable into air attacks"
Ashrah,Special Moves,Heaven Mode,,Darkshift,Hold SS During Enhanced Moves,,,,,,,,,,,,,"• Enters Hell Mode
• Hell Mode Special Moves place a Sin on the opponent (Up to 3)"
Ashrah,Special Moves,Hell Mode,,Invoking The Light,DB1,,,,,1,,42,,,,,,"• Enters Heaven Mode
• Heaven Mode Special Moves ignite the Dark Debuff for extra damage"
Ashrah,Special Moves,Hell Mode,,Hell's Pillar,DF1,70.00,18.750,,Low,28,10,29,,18,-18,-18,Unbreakable,• Unbreakable during first use in a Kombo
Ashrah,Special Moves,Hell Mode,,(Close) Hell's Pillar,"DF1, Hold B",70.00,18.750,,Low,28,,39,,-39,,,Unbreakable,• Unbreakable during first use in a Kombo
Ashrah,Special Moves,Hell Mode,,(Far) Hell's Pillar,"DF1, Hold F",70.00,18.750,,Low,28,,39,,-39,,,Unbreakable,• Unbreakable during first use in a Kombo
Ashrah,Special Moves,Hell Mode,"DF1, Hold F",Enhanced Hell's Pillar,DF1+EX,90.00,21.250,,Low,28,10,29,,18,-18,-18,Unbreakable,"• Costs 1 bar of Super Meter
• Unbreakable during first use in a Kombo"
Ashrah,Special Moves,Hell Mode,,Astral Manifestation,BF2,,,,Mid,20,3,32,,30,-13,-13,,
Ashrah,Special Moves,Hell Mode,BF2,Astral Manifestation (Delay),Hold 2,,,,Mid,20,3,32,,30,-13,-13,,
Ashrah,Special Moves,Hell Mode,BF2,Astral Manifestation (Cancel),BB,,,,,1,,21,,,,,,
Ashrah,Special Moves,Hell Mode,BF2,Spirit Slice,Hold D,70.00,18.750,,Mid,18,2,43,,24,-23,-23,Unbreakable,• Unbreakable during first use in a Kombo after Enhanced Astral Specials
Ashrah,Special Moves,Hell Mode,,Enhanced Astral Manifestation,BF2+EX,,,,Mid,20,3,39,,23,-20,-20,,• Costs 1 bar of Super Meter
Ashrah,Special Moves,Hell Mode,BF2+EX,Enhanced Spirit Slice,"BF2+EX, Hold D",100.00,22.500,,Mid,18,2,43,,24,-23,-23,,• Costs 1 bar of Super Meter
Ashrah,Special Moves,Hell Mode,,(Air) Astral Manifestation,BF2,,,,Mid,20,3,39,,23,-20,-20,,
Ashrah,Special Moves,Hell Mode,BF2,(Air) Enhanced Astral Manifestation,BF2+EX,,,,Mid,20,3,39,,23,-20,-20,,• Costs 1 bar of Super Meter
Ashrah,Special Moves,Hell Mode,BF2,(Air) Spirit Slice,Hold D,70.00,18.750,,Mid,18,2,42,,26,-22,-22,Unbreakable,• Unbreakable during first use in a Kombo after Enhanced Astral Specials
Ashrah,Special Moves,Hell Mode,,Demon's Wrath,DB2,77.00,36.250,,Mid,18,36,38,,22,-21,-21,,
Ashrah,Special Moves,Hell Mode,DB2,Enhanced Demon's Wrath,DB2+EX,110.00,43.750,,Mid,18,36,38,,23,-21,-21,Unbreakable,"• Costs 1 bar of Super Meter
• First Hit is Unbreakable in a Kombo"
Ashrah,Special Moves,Hell Mode,,Dark Ascension,DF3,70.00,18.750,,Mid,14,7,50,,17,-35,-35,,
Ashrah,Special Moves,Hell Mode,DF3,Enhanced Dark Ascension,DF3+EX,70.00,18.750,,Mid,14,7,53,,18,-37,-37,,"• Costs 1 bar of Super Meter
• Cancelable into air attacks"
Ashrah,Special Moves,Hell Mode,,Lightshift,Hold SS During Enhanced Moves,,,,,,,,,,,,,"• Enters Heaven Mode
• Heaven Mode Special Moves absolve a Sin for extra damage"
Ashrah,Special Moves,Fatal Blow,,Pinned Down,SS+EX,350.00,22.500,,Overhead,24,2,60,,17,-20,-30,Armor,"• Must be at 30% health or less
• Kameo must be available
• Press Basic Attack buttons during hits to influence damage (with Fatal Blow Damage Boost ON in Tournament Settings)"
Ashrah,Finishers,Fatalities,,(Mid) Heavenly Light,"DFD,2",,,,,,,,,,,,,
Ashrah,Finishers,Fatalities,"DFD,2",Easy Fatality,"Hold EX,3",,,,,,,,,,,,,• Easy Fatality Token required to perform Easy Fatality
Ashrah,Finishers,Animality,,(Mid) NetherRazzle,BFD3,,,,,,,,,,,,,
Ashrah,Finishers,Animality,BFD3,Easy Fatality,"Hold EX,2",,,,,,,,,,,,,• Easy Fatality Token required to perform Easy Fatality
Ashrah,Finishers,Brutalities,,The Klassic,D+2,,,,,,,,,,,,,"• Hold 2 During Hit
• Final Hit Must Be From D+2"
Baraka,Basic Attacks,Normal Attacks,,Jawripper,1,20.00,3.000,,High,7,2,21,17,14,-1,-1,,
Baraka,Basic Attacks,Normal Attacks,1,Gutwrencher,"1,2",50.00,7.500,,Mid,14,3,23,26,8,-4,-4,,
Baraka,Basic Attacks,Normal Attacks,1,Lobotomizer,"1,2,1",70.00,10.500,,Mid,14,4,21,,43,-3,-3,,
Baraka,Basic Attacks,Normal Attacks,,Reflex Tester,B+1,50.00,7.500,,Low,14,3,22,23,18,-3,-3,,
Baraka,Basic Attacks,Normal Attacks,B+1,Deep Cuts,"B+1,2",70.00,10.500,,Mid,22,2,27,,55,-7,-7,,
Baraka,Basic Attacks,Normal Attacks,,Side Swipe,D+1,20.00,3.000,,Mid,7,3,22,19,12,-8,-8,,
Baraka,Basic Attacks,Normal Attacks,,Gutbuster,2,30.00,4.500,,High,9,2,19,20,15,1,1,,
Baraka,Basic Attacks,Normal Attacks,2,Gurgler,"2,1",50.00,7.500,,Mid,17,2,22,27,12,-2,-2,,
Baraka,Basic Attacks,Normal Attacks,2,Euthanizer,"2,1,2",70.00,10.500,,Mid,9,3,29,,32,0,0,,
Baraka,Basic Attacks,Normal Attacks,,Tarkatan Plunger,F+2,90.00,13.500,,High,16,3,22,,20,-3,-3,,
Baraka,Basic Attacks,Normal Attacks,,Upper-Clawt,D+2,140.00,21.000,,High,11,4,40,,25,-2,-12,,"• On Kounter or Punish Hit, can be Jump Canceled with U+EX or U+F+EX for 2 bars of Super Meter
• Has Armor when Jump Canceled, and pulls in victim while disabling their Kombo Breaker and Kameos"
Baraka,Basic Attacks,Normal Attacks,,Kick Off,3,50.00,7.500,,High,12,4,24,25,13,4,4,,
Baraka,Basic Attacks,Normal Attacks,3,Two-Step,"3,1",70.00,10.500,,Mid,26,3,31,,34,-2,-2,,
Baraka,Basic Attacks,Normal Attacks,,Bleeding Foot,B+3,69.00,10.500,,Mid,13,6,34,38,1,-14,-14,,
Baraka,Basic Attacks,Normal Attacks,B+3,Battle Cry,"B+3,1",50.00,7.500,,High,16,3,26,,53,-7,-7,,• Cancelable on Hit into Jump
Baraka,Basic Attacks,Normal Attacks,B+3,Warrior's Fury,"B+3,2",70.00,10.500,,Mid,13,5,30,,10,-13,-13,,
Baraka,Basic Attacks,Normal Attacks,,Heel Drop,F+3,50.00,10.500,,Overhead,29,4,25,,58,-7,-7,,
Baraka,Basic Attacks,Normal Attacks,,Knee Breaker,D+3,20.00,3.000,,Low,9,2,24,23,12,-9,-9,,
Baraka,Basic Attacks,Normal Attacks,,Quick Shave,4,58.50,9.000,,High,9,10,20,29,2,0,0,,
Baraka,Basic Attacks,Normal Attacks,4,Butcher,"4,4,4",57.05,9.000,,Mid,12,28,27,55,17,-7,-7,,
Baraka,Basic Attacks,Normal Attacks,4,Slaughter House,"4,4,4,4,4,4",48.50,7.500,,Mid,11,19,33,42,19,-14,-14,,
Baraka,Basic Attacks,Normal Attacks,,Cut Down,B+4,70.00,10.500,,Low,16,2,29,,14,1,1,,
Baraka,Basic Attacks,Normal Attacks,,Muay Kry,F+4,50.00,7.500,,Mid,12,3,31,25,40,-2,-12,,
Baraka,Basic Attacks,Normal Attacks,F+4,Shove Off,"F+4,4",70.00,10.500,,Mid,12,2,26,,14,-6,-6,,
Baraka,Basic Attacks,Normal Attacks,,Klean Kuts,D+4,30.00,4.500,,Low,10,2,26,27,15,-6,-6,,
Baraka,Basic Attacks,Aerial Attacks,,Quick Palm,U+F+1,50.00,7.500,,Mid,8,5,38,20,5,-23,-23,,
Baraka,Basic Attacks,Aerial Attacks,U+F+1,Set,"U+F+1,2",30.00,4.500,,Overhead,12,4,40,45,17,-21,-26,,
Baraka,Basic Attacks,Aerial Attacks,U+F+1,Spike,"U+F+1,2,1",90.00,13.500,,Overhead,13,2,42,,24,-25,-30,,
Baraka,Basic Attacks,Aerial Attacks,U+F+1,Hellish Heel,"U+F+1,4",70.00,10.500,,Overhead,10,2,40,45,37,-23,-28,,
Baraka,Basic Attacks,Aerial Attacks,,Bird Slayer,U+F+2,50.00,7.500,,Mid,9,4,38,15,5,-23,-23,,
Baraka,Basic Attacks,Aerial Attacks,U+F+2,Star Kicker,"U+F+2,4",81.00,12.150,,Overhead,15,2,33,43,21,-21,-21,,
Baraka,Basic Attacks,Aerial Attacks,,Karnivorous Kick,U+F+3 or U+F+4,70.00,10.500,,Mid,9,7,38,21,23,-23,-23,,
Baraka,Basic Attacks,Throws,,Shove,F+THROW or F+1+3,20.00,,,Throw,10,2,33,,0,,,,"• Performed when Kameo is unavailable
• See Kameo Moves for Toward Throw featuring Kameo"
Baraka,Basic Attacks,Throws,,Quick Taste,THROW or 1+3,110.00,,,Throw,10,2,33,,15,,,,
Baraka,Basic Attacks,Breakers,,Kombo Breaker,F+EX,,,,,,,,,,,,,"• Costs 3 bars of Super Meter
• Kameo must be available"
Baraka,Basic Attacks,Taunts,,Taunts,DDDD,,,,,,,,,,,,,
Baraka,Special Moves,Special Moves,,Bleeding Blade,BF1,80.00,20.000,,High,19,,,,2,-16,-16,,
Baraka,Special Moves,Special Moves,BF1,Enhanced Bleeding Blade,BF1+EX,100.00,22.500,,High,19,,,,2,-16,-16,,"• Costs 1 bar of Super Meter
• Deals damage over time
• Opponent takes increased Block Damage for a duration"
Baraka,Special Moves,Special Moves,,(Air) Blade Sparks,DB1,80.00,20.000,,Mid,12,10,38,,16,-27,-27,,
Baraka,Special Moves,Special Moves,DB1,(Air) Enhanced Blade Sparks,DB1+EX,80.00,20.000,,Mid,12,10,26,,63,-15,-15,,"• Costs 1 bar of Super Meter
• Victim slowly collapses on Hit"
Baraka,Special Moves,Special Moves,,Stab Stab,DB1,77.50,30.000,,High,10,24,30,,34,-13,-13,,
Baraka,Special Moves,Special Moves,DB1,Stab Stab Chuck,"DB1, Hold B",7.75,3.000,,High,10,24,30,,34,-13,-13,,• Must be against aerial opponent
Baraka,Special Moves,Special Moves,DB1,Enhanced Stab Stab,DB1+EX,77.50,30.000,,High,10,24,30,,34,-13,-13,,"• Costs 1 bar of Super Meter
• Opponent takes increased Block Damage for a duration"
Baraka,Special Moves,Special Moves,,Baraka Barrage,DF2,120.00,55.000,,Mid,12,58,33,,18,-15,-15,,
Baraka,Special Moves,Special Moves,DF2,Enhanced Baraka Barrage,DF2+EX,140.00,57.500,,Mid,12,58,33,,48,-15,-15,,• Costs 1 bar of Super Meter
Baraka,Special Moves,Special Moves,,(Air) Death Spin,DF2,89.83,66.250,,Mid,9,45,36,,37,-23,-23,,
Baraka,Special Moves,Special Moves,DF2,(Air) Enhanced Death Spin,DF2+EX,73.12,41.250,,Mid,9,35,36,,37,-23,-23,Unbreakable,"• Costs 1 bar of Super Meter
• First Hit is Unbreakable in a Kombo"
Baraka,Special Moves,Special Moves,DF2,(Air) Enhanced Death Spin Delay,Hold 2,8.98,6.620,,Mid,9,45,36,,37,-23,-23,,
Baraka,Special Moves,Special Moves,,Chop Chop,BF3,90.00,13.750,,Mid,18,6,38,106,15,-22,-22,,
Baraka,Special Moves,Special Moves,BF3,Enhanced Chop Chop,BF3+EX,110.00,16.250,,Mid,18,6,38,106,15,-22,-22,"Armor, Unbreakable","• Costs 1 bar of Super Meter
• Has Armor
• Unbreakable in a Kombo"
Baraka,Special Moves,Special Moves,BF3,Extend Chop Chop,EX,,,,,1,,108,,,,,,• Costs 1 bar of Super Meter
Baraka,Special Moves,Fatal Blow,,Shishkabob,SS+EX,320.00,22.500,,Mid,16,3,76,,17,-37,-47,Armor,"• Must be at 30% health or less
• Kameo must be available
• Press Basic Attack buttons during hits to influence damage (with Fatal Blow Damage Boost ON in Tournament Settings)"
Baraka,Finishers,Fatalities,,(Close) Split Decision,"BFD,1",,,,,,,,,,,,,
Baraka,Finishers,Fatalities,"BFD,1",Easy Fatality,"Hold EX,3",,,,,,,,,,,,,• Easy Fatality Token required to perform Easy Fatality
Baraka,Finishers,Animality,,(Mid) Tranquill Demise,BDD2,,,,,,,,,,,,,
Baraka,Finishers,Animality,BDD2,Easy Fatality,"Hold EX,2",,,,,,,,,,,,,• Easy Fatality Token required to perform Easy Fatality
Baraka,Finishers,Brutalities,,The Klassic,D+2,,,,,,,,,,,,,"• Hold 2 During Hit
• Final Hit Must Be From D+2"
Cyrax,Basic Attacks,Normal Attacks,,High Tech,1,20.00,3.000,,High,7,2,18,17,18,2,2,,
Cyrax,Basic Attacks,Normal Attacks,1,Steel Fist,"1,2",70.00,10.500,,Mid,14,4,23,,19,-5,-5,,
Cyrax,Basic Attacks,Normal Attacks,1,Short Circuit,"1,1",30.00,4.500,,Mid,15,3,26,25,5,-7,-7,,
Cyrax,Basic Attacks,Normal Attacks,1,See Saw,"1,1,2",70.00,7.500,,Overhead,13,3,35,,32,-11,-11,,
Cyrax,Basic Attacks,Normal Attacks,,Dialing Up,B+1,20.00,,,Throw,11,2,47,,0,,,,
Cyrax,Basic Attacks,Normal Attacks,B+1,Cyber Beatdown,"B+1,2",100.00,,,Throw,11,2,33,,0,,,,
Cyrax,Basic Attacks,Normal Attacks,,Hydraulic Punch,D+1,20.00,3.000,,Mid,7,2,23,19,12,-8,-8,,
Cyrax,Basic Attacks,Normal Attacks,,Steel Strike,2,30.00,4.500,,High,12,2,26,23,1,-6,-6,,
Cyrax,Basic Attacks,Normal Attacks,2,Grinder,"2,1",50.00,7.500,,Overhead,19,4,28,,67,-10,-10,,
Cyrax,Basic Attacks,Normal Attacks,2,Delay Grinder,"2, Hold 1",50.00,7.500,,Overhead,52,4,28,,67,-10,-10,,"• Attack executes upon release of 1
• Cancelable during Start-Up into Enhanced Mistwalk Away/Toward"
Cyrax,Basic Attacks,Normal Attacks,2,Cancel Grinder,"2, Hold 1, DD",,,,,1,,24,,,,,,
Cyrax,Basic Attacks,Normal Attacks,2,Bionic Kick,"2,3",30.00,4.500,,Mid,16,3,22,28,16,-3,-3,,
Cyrax,Basic Attacks,Normal Attacks,2,Zaki Cyclone,"2,3,4",70.00,10.500,,High,23,4,19,36,38,4,4,,• Cancelable on Hit into (Air) Special Moves
Cyrax,Basic Attacks,Normal Attacks,2,Delay Zaki Cyclone,"2,3, Hold 4",70.00,10.500,,High,59,4,19,36,38,4,4,,"• Attack executes upon release of 4
• Cancelable during Start-Up into Enhanced Mistwalk Away/Toward
• Cancelable on Hit into (Air) Special Moves"
Cyrax,Basic Attacks,Normal Attacks,2,Cancel Zaki Cyclone,"2,3, Hold 4, DD",,,,,1,,24,,,,,,
Cyrax,Basic Attacks,Normal Attacks,,Blast Overhead,B+2,77.50,12.000,,Overhead,28,11,27,,54,-8,-8,,• Advantage on Hit allows for Jump Attack follow-up
Cyrax,Basic Attacks,Normal Attacks,B+2,Sliding Detonation,"B+2,4",72.50,12.000,,Low,25,21,30,,36,-12,-12,,
Cyrax,Basic Attacks,Normal Attacks,,Quick Buzz,F+2,85.60,13.500,,Mid,20,13,26,49,12,-7,-7,,
Cyrax,Basic Attacks,Normal Attacks,F+2,Saw Enough,"F+2,1",70.00,10.500,,Overhead,24,3,26,,35,-7,-7,,
Cyrax,Basic Attacks,Normal Attacks,,Sawed Off,D+2,140.00,21.000,,High,9,3,42,,26,-3,-13,,"• On Kounter or Punish Hit, can be Jump Canceled with U+EX or U+F+EX for 2 bars of Super Meter
• Has Armor when Jump Canceled, and pulls in victim while disabling their Kombo Breaker and Kameos"
Cyrax,Basic Attacks,Normal Attacks,,Metal High Heel,3,50.00,7.500,,High,9,4,27,19,9,-9,-9,,
Cyrax,Basic Attacks,Normal Attacks,3,Detonation,"3,2",87.00,22.000,,High,19,19,17,18,58,19,19,,
Cyrax,Basic Attacks,Normal Attacks,,Shin Shatter,B+3,50.00,4.500,,Mid,12,2,21,22,8,-1,-1,,
Cyrax,Basic Attacks,Normal Attacks,B+3,Metal Mid Heel,"B+3,3",30.00,4.500,,High,10,2,27,21,5,-7,-7,,
Cyrax,Basic Attacks,Normal Attacks,B+3,Syntax Error,"B+3,3,4",80.00,4.500,,Mid,18,6,30,54,27,-14,-14,,
Cyrax,Basic Attacks,Normal Attacks,,Hydraulic Step,D+3,20.00,3.000,,Low,11,3,25,20,10,-11,-11,,
Cyrax,Basic Attacks,Normal Attacks,,Zaki Cyclone,4,70.00,10.500,,High,16,4,19,29,38,4,4,,• Cancelable on Hit into (Air) Special Moves
Cyrax,Basic Attacks,Normal Attacks,4,Delay Zaki Cyclone,Hold 4,70.00,10.500,,High,16,4,19,29,38,4,4,,"• Attack executes upon release of 4
• Cancelable during Start-Up into Enhanced Mistwalk Away/Toward
• Cancelable on Hit into (Air) Special Moves"
Cyrax,Basic Attacks,Normal Attacks,4,Cancel Zaki Cyclone,"Hold 4, DD",,,,,1,,24,,,,,,
Cyrax,Basic Attacks,Normal Attacks,4,Photon Sweep,"Hold 4, B",70.00,10.500,,Low,12,2,33,,11,-3,-3,,• Attack executes upon release of 4
Cyrax,Basic Attacks,Normal Attacks,4,Dialing Up,"Hold 4, Hold THROW",20.00,,,Throw,11,2,33,,0,,,,"• Attack executes upon release of 4
• Release THROW and input 2 for Cyber Beatdown"
Cyrax,Basic Attacks,Normal Attacks,,Photon Sweep,B+4,70.00,10.500,,Low,12,2,33,,11,-3,-3,,
Cyrax,Basic Attacks,Normal Attacks,,Metal Scraper,D+4,30.00,4.500,,Low,13,3,30,33,10,-11,-11,,
Cyrax,Basic Attacks,Aerial Attacks,,Power Plant,U+F+1,50.00,10.500,,Overhead,8,4,39,13,4,-24,-24,,
Cyrax,Basic Attacks,Aerial Attacks,U+F+1,Cut Above,"U+F+1,2",70.00,10.500,,Overhead,14,3,37,47,41,-26,-26,,
Cyrax,Basic Attacks,Aerial Attacks,,Downloaded,U+F+2,50.00,7.500,,Mid,10,4,39,14,4,-24,-24,,
Cyrax,Basic Attacks,Aerial Attacks,U+F+2,Upgraded,"U+F+2,1",30.00,4.500,,Overhead,15,3,31,42,45,-20,-20,,
Cyrax,Basic Attacks,Aerial Attacks,U+F+2,Mustard Mk.1,"U+F+2,1,2",89.50,15.000,,Overhead,15,11,53,19,17,-32,-32,,
Cyrax,Basic Attacks,Aerial Attacks,,Power Surge,U+F+3 or U+F+4,70.00,10.500,,Mid,9,7,39,26,22,-24,-24,,
Cyrax,Basic Attacks,Aerial Attacks,U+F+3 or U+F+4,Hard Krash,"U+F+3,4",25.50,3.800,,Mid,9,4,31,37,20,-21,-21,,
Cyrax,Basic Attacks,Aerial Attacks,U+F+3 or U+F+4,Reboot,"U+F+3,4,3",25.50,3.800,,Mid,9,4,31,37,20,-21,-21,,
Cyrax,Basic Attacks,Throws,,Shove,F+THROW or F+1+3,70.00,10.500,,Mid,10,2,33,,0,,,,"• Performed when Kameo is unavailable
• See Kameo Moves for Toward Throw featuring Kameo"
Cyrax,Basic Attacks,Throws,,Zaki Orthodontics,THROW or 1+3,110.00,,,Throw,10,2,33,,7,,,,
Cyrax,Basic Attacks,Breakers,,Kombo Breaker,F+EX,,,,,,,,,,,,,"• Costs 3 bars of Super Meter
• Kameo must be available"
